StudentID,Name,Email,TenthMarks,TwelfthMarks,Strengths,Weaknesses,Semester,Courses
1RV22AI011,Samarth Menon,samarth.menon.ai22@rvce.edu.in,95,83,Teamwork(+4.50); Communication(+4.00); Self_Study(+4.00); System_Design(+3.50),Practical(+0.90); Presentation(+1.40); Database(+2.10); Time_Management(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI012,Krishna Shah,krishna.shah.ai22@rvce.edu.in,83,75,Problem_Solving(+3.60); Presentation(+3.50); Communication(+3.20); Self_Study(+3.20); Research(+2.80),Database(+1.40); Time_Management(+1.40); Teamwork(+1.80); Leadership(+1.80); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI013,Ira Rajan,ira.rajan.ai22@rvce.edu.in,81,90,Problem_Solving(+4.50); Teamwork(+3.60); Time_Management(+3.50),Database(+1.40); Programming(+1.60); Leadership(+1.80); System_Design(+2.10); Theory(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI014,Aarav Goswami,aarav.goswami.ai22@rvce.edu.in,89,93,Practical(+3.60); Database(+3.50); Theory(+3.50); Programming(+3.20); Self_Study(+3.20); Project_Work(+3.20),Leadership(+1.20); System_Design(+1.40); AI_ML(+1.60); Communication(+1.60); Time_Management(+2.10); Presentation(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI015,Palak Pandey,palak.pandey.ai22@rvce.edu.in,84,94,Practical(+4.50); Programming(+3.20); Presentation(+2.80); Problem_Solving(+2.70),Database(+0.70); Time_Management(+0.70); System_Design(+1.40); Research(+1.40); Self_Study(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI016,Zara Khanna,zara.khanna.ai22@rvce.edu.in,90,88,Teamwork(+3.60); Practical(+3.60); Database(+3.50); System_Design(+3.50); Project_Work(+3.20),Time_Management(+1.40); Presentation(+1.40); Research(+1.40); Programming(+1.60); AI_ML(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI017,Darsh Choudhury,darsh.choudhury.ai22@rvce.edu.in,82,87,Research(+3.50); Database(+2.80); System_Design(+2.80); Time_Management(+2.80); Presentation(+2.80); Theory(+2.80),Project_Work(+0.80); Self_Study(+1.60); Problem_Solving(+1.80); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI018,Anjali Walia,anjali.walia.ai22@rvce.edu.in,89,95,Teamwork(+4.50); Communication(+4.00); AI_ML(+3.20),Theory(+0.70); Presentation(+1.40); Research(+1.40); Self_Study(+1.60); Project_Work(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI019,Kunal Kamath,kunal.kamath.ai22@rvce.edu.in,80,87,Self_Study(+4.00); Problem_Solving(+3.60); Teamwork(+3.60); Database(+3.50),Theory(+1.40); Project_Work(+1.60); Leadership(+1.80); Time_Management(+2.10); Presentation(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI020,Pranav Bhattacharya,pranav.bhattacharya.ai22@rvce.edu.in,78,95,Problem_Solving(+3.60); AI_ML(+3.20),Project_Work(+1.60); Leadership(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI021,Aarush Fernandes,aarush.fernandes.ai22@rvce.edu.in,84,95,Project_Work(+4.00); Practical(+3.60); Programming(+3.20); Database(+2.80); Research(+2.80),AI_ML(+0.80); Leadership(+1.20); System_Design(+1.40); Theory(+1.40); Communication(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI022,Kabir Gandhi,kabir.gandhi.ai22@rvce.edu.in,88,95,Practical(+3.60); Self_Study(+3.20); Project_Work(+3.20); Database(+2.80),Problem_Solving(+1.80); Leadership(+1.80); System_Design(+2.10); Time_Management(+2.10); Presentation(+2.10); Theory(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI023,Gauri Sharma,gauri.sharma.ai22@rvce.edu.in,94,76,Self_Study(+4.00); Programming(+3.20); Time_Management(+2.80); Theory(+2.80); Teamwork(+2.70),Project_Work(+0.80); Database(+1.40); System_Design(+1.40); Presentation(+1.40); Communication(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI024,Advait Pillai,advait.pillai.ai22@rvce.edu.in,99,94,Communication(+4.00); Practical(+3.60); Programming(+3.20); Database(+2.80); Time_Management(+2.80); Theory(+2.80),Project_Work(+0.80); System_Design(+1.40); Presentation(+1.40); Research(+1.40); AI_ML(+1.60); Problem_Solving(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI025,Ananya Malhotra,ananya.malhotra.ai22@rvce.edu.in,87,80,Problem_Solving(+4.50); Practical(+3.60); Database(+3.50); Self_Study(+3.20),System_Design(+1.40); Theory(+1.40); AI_ML(+1.60); Leadership(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI026,Jatin Singh,jatin.singh.ai22@rvce.edu.in,78,78,Teamwork(+3.60); System_Design(+3.50); Research(+3.50); Programming(+3.20); Project_Work(+3.20),Communication(+1.60); Time_Management(+2.10); Presentation(+2.10); Theory(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI027,Karan Ahuja,karan.ahuja.ai22@rvce.edu.in,87,99,Teamwork(+4.50); Practical(+3.60); Research(+3.50); Programming(+3.20); Communication(+3.20); Self_Study(+3.20),System_Design(+0.70); Time_Management(+1.40); Leadership(+1.80); Theory(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI028,Deepa Nair,deepa.nair.ai22@rvce.edu.in,85,87,Problem_Solving(+4.50); System_Design(+3.50); AI_ML(+3.20),Presentation(+1.40); Programming(+1.60); Project_Work(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI029,Gauri Pandey,gauri.pandey.ai22@rvce.edu.in,86,93,Programming(+3.20); AI_ML(+3.20); Communication(+3.20); Self_Study(+3.20); System_Design(+2.80); Research(+2.80),Time_Management(+0.70); Database(+1.40); Presentation(+1.40); Theory(+1.40); Project_Work(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI030,Ishaan Rao,ishaan.rao.ai22@rvce.edu.in,86,93,Practical(+4.50); Teamwork(+3.60); Programming(+3.20); Project_Work(+3.20); Leadership(+3.00),Problem_Solving(+0.90); System_Design(+1.40); Time_Management(+2.10); Presentation(+2.10); Theory(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI031,Riya Chakraborty,riya.chakraborty.ai22@rvce.edu.in,99,92,Problem_Solving(+3.60); Practical(+3.60); Research(+3.50); Communication(+3.20); Self_Study(+3.20),System_Design(+1.40); Presentation(+1.40); Project_Work(+1.60); Teamwork(+1.80); Leadership(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI032,Zara Bansal,zara.bansal.ai22@rvce.edu.in,89,92,Self_Study(+4.00); Problem_Solving(+3.60); Teamwork(+3.60); Programming(+3.20),Database(+1.40); System_Design(+1.40); Presentation(+1.40); AI_ML(+1.60); Leadership(+1.80); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI033,Chirag Das,chirag.das.ai22@rvce.edu.in,87,94,Problem_Solving(+3.60); Teamwork(+3.60); Research(+3.50); Programming(+3.20),Communication(+1.60); Leadership(+1.80); Practical(+1.80); System_Design(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI034,Kunal Unnikrishnan,kunal.unnikrishnan.ai22@rvce.edu.in,94,83,Database(+3.50); Theory(+3.50); Programming(+3.20); Self_Study(+3.20); Project_Work(+3.20),Research(+1.40); Teamwork(+1.80); Practical(+1.80); Presentation(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI035,Dhruv Easwaran,dhruv.easwaran.ai22@rvce.edu.in,84,99,Practical(+4.50); Self_Study(+4.00); Teamwork(+3.60); Programming(+3.20); AI_ML(+3.20),Time_Management(+1.40); Presentation(+1.40); Project_Work(+1.60); Theory(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI036,Ira Saxena,ira.saxena.ai22@rvce.edu.in,75,85,Programming(+4.00); Project_Work(+4.00); Problem_Solving(+3.60); Practical(+3.60); Theory(+3.50),Leadership(+0.60); Presentation(+1.40); Database(+2.10); System_Design(+2.10); Time_Management(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI037,Rajat Sharma,rajat.sharma.ai22@rvce.edu.in,83,75,Teamwork(+3.60); Practical(+3.60); Database(+3.50); Communication(+3.20); Time_Management(+2.80),Programming(+0.80); Presentation(+1.40); Theory(+1.40); Research(+1.40); AI_ML(+1.60); Self_Study(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI038,Zara Ahuja,zara.ahuja.ai22@rvce.edu.in,96,85,Problem_Solving(+3.60); AI_ML(+3.20); Communication(+3.20); Project_Work(+3.20); Presentation(+2.80); Theory(+2.80),Programming(+0.80); Self_Study(+0.80); Practical(+0.90); Database(+1.40); Time_Management(+1.40); Research(+1.40),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI039,Varsha Singh,varsha.singh.ai22@rvce.edu.in,84,80,Teamwork(+3.60); Practical(+3.60); AI_ML(+3.20); Communication(+3.20),Theory(+1.40); Database(+2.10); System_Design(+2.10); Time_Management(+2.10); Presentation(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI040,Neha Tiwari,neha.tiwari.ai22@rvce.edu.in,89,83,Problem_Solving(+3.60); Presentation(+3.50); AI_ML(+3.20); Database(+2.80); Theory(+2.80),Self_Study(+1.60); Leadership(+1.80); Practical(+1.80); System_Design(+2.10); Time_Management(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI041,Varsha Gandhi,varsha.gandhi.ai22@rvce.edu.in,99,84,Problem_Solving(+3.60); Teamwork(+3.60); Self_Study(+3.20); Research(+2.80),Programming(+0.80); System_Design(+1.40); Communication(+1.60); Project_Work(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI042,Akash Verma,akash.verma.ai22@rvce.edu.in,92,89,Project_Work(+4.00); Programming(+3.20); AI_ML(+3.20),Time_Management(+1.40); Self_Study(+1.60); Teamwork(+1.80); Leadership(+1.80); Practical(+1.80); Presentation(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI043,Priya Shetty,priya.shetty.ai22@rvce.edu.in,87,91,Teamwork(+3.60); Programming(+3.20); Leadership(+3.00); System_Design(+2.80); Theory(+2.80); Research(+2.80),Presentation(+1.40); Project_Work(+1.60); Problem_Solving(+1.80); Database(+2.10); Time_Management(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI044,Rajat Dubey,rajat.dubey.ai22@rvce.edu.in,90,93,Problem_Solving(+3.60); Teamwork(+3.60); Self_Study(+3.20); Database(+2.80); System_Design(+2.80); Research(+2.80),Presentation(+0.70); Leadership(+1.20); Theory(+1.40); Programming(+1.60); Communication(+1.60); Project_Work(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI045,Sanjana Patel,sanjana.patel.ai22@rvce.edu.in,98,82,System_Design(+3.50); Time_Management(+3.50); Presentation(+3.50); Project_Work(+3.20),Self_Study(+0.80); Programming(+1.60); Database(+2.10); Theory(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI046,Dhruv Bhat,dhruv.bhat.ai22@rvce.edu.in,93,90,Practical(+4.50); Time_Management(+3.50),Self_Study(+0.80); Presentation(+1.40); Research(+1.40); AI_ML(+1.60); Communication(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI047,Palak Dubey,palak.dubey.ai22@rvce.edu.in,96,75,Teamwork(+3.60); Research(+3.50); Programming(+3.20); AI_ML(+3.20); Communication(+3.20); Self_Study(+3.20),System_Design(+1.40); Theory(+1.40); Problem_Solving(+1.80); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI048,Anjali Nair,anjali.nair.ai22@rvce.edu.in,81,76,Teamwork(+4.50); Practical(+4.50); Database(+3.50); AI_ML(+3.20),Theory(+0.70); Project_Work(+0.80); Leadership(+1.20); Time_Management(+1.40); Programming(+1.60); Self_Study(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI049,Akash Hegde,akash.hegde.ai22@rvce.edu.in,85,82,Problem_Solving(+4.50); Programming(+4.00),Presentation(+0.70); Research(+1.40); AI_ML(+1.60); Communication(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI050,Dhruv Desai,dhruv.desai.ai22@rvce.edu.in,75,96,Practical(+3.60); Programming(+3.20); Project_Work(+3.20); Time_Management(+2.80); Problem_Solving(+2.70); Teamwork(+2.70),Theory(+0.70); Self_Study(+0.80); Presentation(+1.40); Communication(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI051,Neel Fernandes,neel.fernandes.ai22@rvce.edu.in,78,93,Communication(+3.20); Self_Study(+3.20); Problem_Solving(+2.70); Teamwork(+2.70); Practical(+2.70),AI_ML(+0.80); Presentation(+1.40); Theory(+1.40); Programming(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI052,Gaurav Saxena,gaurav.saxena.ai22@rvce.edu.in,88,79,Problem_Solving(+4.50); AI_ML(+4.00); Communication(+4.00); Teamwork(+3.60); Theory(+3.50),Presentation(+1.40); Research(+1.40); Self_Study(+1.60); Leadership(+1.80); Time_Management(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI053,Harini Qureshi,harini.qureshi.ai22@rvce.edu.in,82,92,Communication(+4.00); Teamwork(+3.60); Presentation(+3.50); AI_ML(+3.20); Project_Work(+3.20),Database(+1.40); System_Design(+1.40); Practical(+1.80); Time_Management(+2.10); Theory(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI054,Anjali Sharma,anjali.sharma.ai22@rvce.edu.in,90,83,Problem_Solving(+3.60); Practical(+3.60); Communication(+3.20); Project_Work(+3.20),Self_Study(+0.80); Time_Management(+1.40); Leadership(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI055,Riya Naidu,riya.naidu.ai22@rvce.edu.in,98,91,Teamwork(+4.50); Practical(+3.60); Database(+3.50),Programming(+1.60); Self_Study(+1.60); Problem_Solving(+1.80); Leadership(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI056,Lavanya Gandhi,lavanya.gandhi.ai22@rvce.edu.in,86,82,Project_Work(+4.00); Problem_Solving(+3.60); Research(+3.50),System_Design(+1.40); AI_ML(+1.60); Communication(+1.60); Self_Study(+1.60); Leadership(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI057,Karan Shah,karan.shah.ai22@rvce.edu.in,85,86,Communication(+4.00); Programming(+3.20); Project_Work(+3.20),System_Design(+1.40); Theory(+1.40); Teamwork(+1.80); Leadership(+1.80); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI058,Uday Chakraborty,uday.chakraborty.ai22@rvce.edu.in,80,86,Project_Work(+4.00); Teamwork(+3.60); Programming(+3.20); Communication(+3.20),Leadership(+1.20); Research(+1.40); Problem_Solving(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI059,Avani Nair,avani.nair.ai22@rvce.edu.in,75,95,Self_Study(+4.00); Teamwork(+3.60); Research(+3.50); Programming(+3.20); Communication(+3.20),Problem_Solving(+0.90); Database(+1.40); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI060,Nikhil Singh,nikhil.singh.ai22@rvce.edu.in,87,95,Problem_Solving(+3.60); Practical(+3.60); Database(+3.50); Research(+3.50); Programming(+3.20),Communication(+1.60); Project_Work(+1.60); Teamwork(+1.80); System_Design(+2.10); Time_Management(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI061,Advait Patel,advait.patel.ai22@rvce.edu.in,83,82,Problem_Solving(+3.60); Teamwork(+3.60); AI_ML(+3.20); Communication(+3.20); Self_Study(+3.20); System_Design(+2.80); Time_Management(+2.80),Programming(+0.80); Project_Work(+0.80); Leadership(+1.20); Theory(+1.40); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI062,Arjun Patel,arjun.patel.ai22@rvce.edu.in,76,79,Problem_Solving(+3.60); Communication(+3.20); Self_Study(+3.20); Teamwork(+2.70); Practical(+2.70),Leadership(+0.60); Theory(+1.40); Research(+1.40); AI_ML(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI063,Sahil Rao,sahil.rao.ai22@rvce.edu.in,92,84,Project_Work(+4.00); Database(+3.50); AI_ML(+3.20); Communication(+3.20),Teamwork(+0.90); Theory(+1.40); Leadership(+1.80); System_Design(+2.10); Time_Management(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI064,Varun Rajan,varun.rajan.ai22@rvce.edu.in,95,89,Problem_Solving(+4.50); Teamwork(+3.60); Theory(+3.50); Programming(+3.20),Communication(+0.80); Database(+1.40); Time_Management(+1.40); Self_Study(+1.60); Project_Work(+1.60); Leadership(+1.80); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI065,Aditi Sengupta,aditi.sengupta.ai22@rvce.edu.in,88,95,Practical(+4.50); Project_Work(+3.20); System_Design(+2.80); Problem_Solving(+2.70),Communication(+0.80); Database(+1.40); Time_Management(+1.40); AI_ML(+1.60); Teamwork(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI066,Lavanya Singh,lavanya.singh.ai22@rvce.edu.in,82,82,AI_ML(+4.00); Problem_Solving(+3.60); Teamwork(+3.60); Practical(+3.60); Programming(+3.20); Communication(+3.20),Database(+0.70); Time_Management(+1.40); Theory(+1.40); Project_Work(+1.60); Leadership(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI067,Pooja Zacharia,pooja.zacharia.ai22@rvce.edu.in,75,76,Communication(+4.00); Problem_Solving(+3.60); Practical(+3.60); Database(+3.50); Time_Management(+3.50),Leadership(+1.20); System_Design(+2.10); Presentation(+2.10); Research(+2.10); Project_Work(+2.40),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI068,Jay Khanna,jay.khanna.ai22@rvce.edu.in,99,99,Problem_Solving(+3.60); Practical(+3.60); AI_ML(+3.20); Self_Study(+3.20),Communication(+0.80); Database(+1.40); Time_Management(+1.40),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI069,Deepa Yadav,deepa.yadav.ai22@rvce.edu.in,82,90,Practical(+3.60); Programming(+3.20); Database(+2.80); Time_Management(+2.80); Presentation(+2.80),Leadership(+1.20); Research(+1.40); AI_ML(+1.60); Problem_Solving(+1.80); Teamwork(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI070,Tara Choudhury,tara.choudhury.ai22@rvce.edu.in,91,96,Teamwork(+4.50); AI_ML(+3.20); Self_Study(+3.20),Programming(+0.80); Presentation(+1.40); Problem_Solving(+1.80); Leadership(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI071,Priya Xavier,priya.xavier.ai22@rvce.edu.in,95,85,Problem_Solving(+4.50); Presentation(+3.50); Self_Study(+3.20),AI_ML(+0.80); Research(+1.40); Programming(+1.60); Project_Work(+1.60); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI072,Mira Rao,mira.rao.ai22@rvce.edu.in,86,93,Programming(+4.00); Problem_Solving(+3.60); Practical(+3.60); Theory(+3.50),Presentation(+0.70); Communication(+1.60); System_Design(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI073,Dhruv Dubey,dhruv.dubey.ai22@rvce.edu.in,85,92,Presentation(+3.50); Programming(+3.20); Project_Work(+3.20); Time_Management(+2.80); Research(+2.80); Teamwork(+2.70),Problem_Solving(+0.90); System_Design(+1.40); AI_ML(+1.60); Self_Study(+1.60); Practical(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI074,Uday Venkatesh,uday.venkatesh.ai22@rvce.edu.in,99,85,Problem_Solving(+4.50); Programming(+4.00); Practical(+3.60); Presentation(+3.50); Research(+3.50); Communication(+3.20),Teamwork(+0.90); Theory(+1.40); AI_ML(+1.60); Leadership(+1.80); System_Design(+2.10); Time_Management(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI075,Harini Bhat,harini.bhat.ai22@rvce.edu.in,75,92,Problem_Solving(+4.50); Time_Management(+3.50); Presentation(+3.50),Leadership(+1.20); Theory(+1.40); Teamwork(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI076,Priya Dubey,priya.dubey.ai22@rvce.edu.in,92,82,AI_ML(+4.00); Practical(+3.60); System_Design(+3.50); Self_Study(+3.20),Time_Management(+0.70); Presentation(+1.40); Communication(+1.60); Theory(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI077,Advait Menon,advait.menon.ai22@rvce.edu.in,88,82,Communication(+4.00); Problem_Solving(+2.70); Teamwork(+2.70); Practical(+2.70),Leadership(+0.60); Presentation(+0.70); Database(+1.40); Research(+1.40); Programming(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI078,Gauri Hegde,gauri.hegde.ai22@rvce.edu.in,87,78,AI_ML(+3.20); Self_Study(+3.20); Database(+2.80); Theory(+2.80); Teamwork(+2.70); Practical(+2.70),System_Design(+0.70); Problem_Solving(+0.90); Programming(+1.60); Project_Work(+1.60),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI079,Nandini Khanna,nandini.khanna.ai22@rvce.edu.in,90,86,Practical(+4.50); Problem_Solving(+3.60); AI_ML(+3.20); Communication(+3.20); Project_Work(+3.20),Programming(+1.60); Database(+2.10); System_Design(+2.10); Time_Management(+2.10); Presentation(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI080,Madhav Joshi,madhav.joshi.ai22@rvce.edu.in,90,94,Teamwork(+3.60); Presentation(+3.50); Programming(+3.20); Project_Work(+3.20),AI_ML(+1.60); Self_Study(+1.60); Problem_Solving(+1.80); Practical(+1.80); System_Design(+2.10); Time_Management(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI081,Pooja Gandhi,pooja.gandhi.ai22@rvce.edu.in,88,86,Practical(+3.60); Time_Management(+3.50); AI_ML(+3.20); Communication(+3.20); Research(+2.80),Presentation(+0.70); Programming(+0.80); Self_Study(+1.60); Teamwork(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI082,Bhavya Ahuja,bhavya.ahuja.ai22@rvce.edu.in,87,86,Communication(+4.00); System_Design(+3.50); Project_Work(+3.20),Programming(+0.80); Presentation(+1.40),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI083,Ojas Shetty,ojas.shetty.ai22@rvce.edu.in,89,84,AI_ML(+4.00); Self_Study(+3.20),Theory(+1.40); Teamwork(+1.80); Time_Management(+2.10); Research(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI084,Varsha Shah,varsha.shah.ai22@rvce.edu.in,87,96,Programming(+4.00); Communication(+4.00); Problem_Solving(+3.60); Database(+3.50); Self_Study(+3.20),Research(+1.40); Project_Work(+1.60); Leadership(+1.80); System_Design(+2.10); Time_Management(+2.10); Presentation(+2.10),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI085,Harini Reddy,harini.reddy.ai22@rvce.edu.in,86,88,Project_Work(+4.00); Teamwork(+3.60); Practical(+3.60); System_Design(+3.50); Time_Management(+3.50),Database(+0.70); Programming(+0.80); Theory(+1.40); Research(+1.40),5,"DBMS,AISE,MLOps,ANN,PME"
1RV22AI086,Tanvi Oberoi,tanvi.oberoi.ai22@rvce.edu.in,92,90,Self_Study(+4.00); Project_Work(+4.00); Teamwork(+3.60); Theory(+3.50); AI_ML(+3.20); Communication(+3.20),Leadership(+1.20); Database(+1.40); Presentation(+1.40); Research(+1.40); Problem_Solving(+1.80),5,"DBMS,AISE,MLOps,ANN,PME"
